CHECK_ID,CHECK_TITLE,CHECK_SCORED,CHECK_CIS_LEVEL,CHECK_SEVERITY,CHECK_ASFF_RESOURCE_TYPE,CHECK_ALTERNATE,CHECK_ALTERNATE_check,CHECK_ASFF_COMPLIANCE_TYPE,CHECK_SERVICENAME,CHECK_RISK,CHECK_REMEDIATION,CHECK_DOC,CHECK_CAF_EPIC
7.143,[extra7143] Check if EFS have policies which allow access to everyone,NOT_SCORED,EXTRA,Critical,AwsEFS,extra7143,extra7143,NA,efs,EFS accessible to everyone could expose sensitive data to bad actors,Ensure efs has some policy but it does not have principle as *,https://docs.aws.amazon.com/efs/latest/ug/access-control-block-public-access.html,Data Protection
7.144,[extra7144] Check if CloudWatch has allowed cross-account sharing,NOT_SCORED,EXTRA,Medium,AwsCloudWatch,extra7144,extra7144,NA,cloudwatch,Cross-Account access to CloudWatch could increase the risk of compromising information between accounts,Grant usage permission on a per-resource basis to enforce least privilege and Zero Trust principles,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Cross-Account-Cross-Region.html,Logging and Monitoring
3.9,[check39] Ensure a log metric filter and alarm exist for AWS Config configuration changes,SCORED,LEVEL2,Medium,AwsCloudTrailTrail,check39,check39,NA,configservice,If not enabled important changes to accounts could go unnoticed or difficult to find.,Use this service as a complement to implement detective controls that cannot be prevented. (e.g. a Security Group is modified to open to internet without restrictions or route changed to avoid going thru the network firewall). Ensure AWS Config is enabled in all regions in order to detect any not intended action. On the other hand if sufficient preventive controls to make changes in critical services are in place; the rating on this finding can be lowered or discarded depending on residual risk.,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html,Logging and Monitoring
7.127,[extra7127] Check if EC2 instances managed by Systems Manager are compliant with patching requirements,NOT_SCORED,EXTRA,High,AwsEc2Instance,extra7127,extra7127,ens-op.exp.1.aws.sys.1 ens-op.exp.4.aws.sys.1,ssm,Without the most recent security patches your system is potentially vulnerable to cyberattacks. Even the best-designed software can not anticipate every future threat to cybersecurity. Poor patch management can leave an organizations data exposed subjecting them to malware and ransomware attacks.,Consider using SSM in all accounts and services to at least monitor for missing patches on servers. Use a robust process to apply security fixes as soon as they are made available. Patch compliance data from Patch Manager can be sent to AWS Security Hub to centralize security issues.,https://docs.aws.amazon.com/systems-manager/latest/userguide/patch-compliance-identify.html,Infrastructure Security
7.118,[extra7118] Check if Glue ETL Jobs have S3 encryption enabled.,NOT_SCORED,EXTRA,Medium,AwsGlue,extra7118,extra7118,NA,glue,If not enabled sensitive information at rest is not protected.,Provide the encryption properties that are used by crawlers; jobs; and development endpoints.,https://docs.aws.amazon.com/glue/latest/dg/console-security-configurations.html,Data Protection
7.120,[extra7120] Check if Glue ETL Jobs have CloudWatch Logs encryption enabled.,NOT_SCORED,EXTRA,Medium,AwsGlue,extra7120,extra7120,NA,glue,If not enabled sensitive information at rest is not protected.,Enable Encryption in the Security configurations.,https://docs.aws.amazon.com/glue/latest/dg/console-security-configurations.html,Logging and Monitoring
7.116,[extra7116] Check if Glue data catalog settings have metadata encryption enabled.,NOT_SCORED,EXTRA,Medium,AwsGlue,extra7116,extra7116,NA,glue,If not enabled sensitive information at rest is not protected.,Enable Encryption. Use a CMK where possible. It will provide additional management and privacy benefits.,https://docs.aws.amazon.com/glue/latest/dg/encrypt-glue-data-catalog.html,Data Protection
7.129,[extra7129] Check if Application Load Balancer has a WAF ACL attached,NOT_SCORED,EXTRA,Medium,AwsElasticLoadBalancingV2LoadBalancer,extra7129,extra7129,ens-mp.s.2.aws.waf.3,elb,If not WAF ACL is attached risk of web attacks increases.,Using the AWS Management Console open the AWS WAF console to attach an ACL.,https://docs.aws.amazon.com/waf/latest/developerguide/web-acl-associating-aws-resource.html,Infrastructure Security
7.111,[extra7111] Check if Amazon SageMaker Notebook instances have direct internet access,NOT_SCORED,EXTRA,Medium,AwsSageMakerNotebookInstance,extra7111,extra7111,NA,sagemaker,This could provide an avenue for unauthorized access to your data.,Restrict which traffic can access by launching Studio in a Virtual Private Cloud (VPC) of your choosing.,https://docs.aws.amazon.com/sagemaker/latest/dg/interface-vpc-endpoint.html,Infrastructure Security
3.8,[check38] Ensure a log metric filter and alarm exist for S3 bucket policy changes,SCORED,LEVEL1,Medium,AwsCloudTrailTrail,check38,check38,NA,s3,Monitoring unauthorized API calls will help reveal application errors and may reduce time to detect malicious activity.,It is recommended that a metric filter and alarm be established for unauthorized requests.,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html,Logging and Monitoring
7.145,[extra7145] Check if Lambda functions have policies which allow access to any AWS account,NOT_SCORED,EXTRA,Critical,AwsLambda,extra7145,extra7145,NA,lambda,Lambda function access to any AWS account may result security issues,Ensure Lambda function policiy does not allow access to any account,https://docs.aws.amazon.com/lambda/latest/dg/access-control-resource-based.html,IAM
7.189,[extra7189] Ensure Multi-Factor Authentication (MFA) using Radius Server is enabled in DS,NOT_SCORED,EXTRA,Medium,AwsDirectoryService,extra7189,extra7189,NA,ds,Multi-Factor Authentication (MFA) adds an extra layer of authentication assurance beyond traditional username and password.,Enabling MFA provides increased security to a user name and password as it requires the user to possess a solution that displays a time-sensitive authentication code.,https://docs.aws.amazon.com/directoryservice/latest/admin-guide/ms_ad_mfa.html,Infrastructure Security
7.142,[extra7142] Check if Application Load Balancer is dropping invalid packets to prevent header based HTTP request smuggling,NOT_SCORED,EXTRA,Medium,AwsElasticLoadBalancingV2LoadBalancer,extra7142,extra7142,,elb,ALB can be target of actors sending bad HTTP headers,Ensure Application Load Balancer is configured for HTTP headers with header fields that are not valid are removed by the load balancer (true),https://docs.aws.amazon.com/elasticloadbalancing/latest/application/application-load-balancers.html#desync-mitigation-mode,Data Protection
3.6,[check36] Ensure a log metric filter and alarm exist for AWS Management Console authentication failures,SCORED,LEVEL2,Medium,AwsCloudTrailTrail,check36,check36,ens-op.exp.8.aws.trail.3,iam,Monitoring unauthorized API calls will help reveal application errors and may reduce time to detect malicious activity.,It is recommended that a metric filter and alarm be established for unauthorized requests.,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html,Logging and Monitoring
7.174,[extra7174] CodeBuild Project last invoked greater than 90 days,NOT_SCORED,EXTRA,High,NA,extra7174,extra7174,NA,codebuild,Older CodeBuild projects can be checked to see if they are currently in use,Check if CodeBuild project are really in use and remove the stale ones,https://docs.aws.amazon.com/codebuild/latest/userguide/delete-project.html,Infrastructure Security
7.180,[extra7180] Check Lambda Function URL CORS configuration,NOT_SCORED,EXTRA,Medium,AwsLambdaFunction,extra7180,extra7180,NA,lambda,Publicly accessible services could expose sensitive data to bad actors.,Grant usage permission on a per-resource basis and applying least privilege principle.,https://docs.aws.amazon.com/secretsmanager/latest/userguide/lambda-functions.html,Infrastructure Security
3.1,[check31] Ensure a log metric filter and alarm exist for unauthorized API calls,SCORED,LEVEL1,Medium,AwsCloudTrailTrail,check31,check31,ens-op.exp.8.aws.trail.2,iam,Monitoring unauthorized API calls will help reveal application errors and may reduce time to detect malicious activity.,It is recommended that a metric filter and alarm be established for unauthorized requests.,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html,Logging and Monitoring
7.187,[extra7187] Ensure that your Amazon WorkSpaces storage volumes are encrypted in order to meet security and compliance requirements,NOT_SCORED,EXTRA,High,AwsWorkspaces,extra7187,extra7187,NA,workspaces,If the value listed in the Volume Encryption column is Disabled the selected AWS WorkSpaces instance volumes (root and user volumes) are not encrypted. Therefore your data-at-rest is not protected from unauthorized access and does not meet the compliance requirements regarding data encryption.,WorkSpaces is integrated with the AWS Key Management Service (AWS KMS). This enables you to encrypt storage volumes of WorkSpaces using AWS KMS Key. When you launch a WorkSpace you can encrypt the root volume (for Microsoft Windows - the C drive; for Linux - /) and the user volume (for Windows - the D drive; for Linux - /home). Doing so ensures that the data stored at rest - disk I/O to the volume - and snapshots created from the volumes are all encrypted,https://docs.aws.amazon.com/workspaces/latest/adminguide/encrypt-workspaces.html,Infrastructure Security
7.173,[extra7173] Security Groups created by EC2 Launch Wizard,NOT_SCORED,EXTRA,Medium,AwsEc2SecurityGroup,extra7173,extra7173,NA,ec2,Security Groups Created on the AWS Console using the EC2 wizard may allow port 22 from 0.0.0.0/0,Apply Zero Trust approach. Implement a process to scan and remediate security groups created by the EC2 Wizard. Recommended best practices is to use an authorized security group.,CHECK_DOC_extra7173='https://docs.aws.amazon.com/eks/latest/userguide/sec-group-reqs.html',Infrastructure Security
7.23,[extra723] Check if RDS Snapshots and Cluster Snapshots are public,NOT_SCORED,EXTRA,Critical,AwsRdsDbSnapshot,extra723,extra723,NA,rds,Publicly accessible services could expose sensitive data to bad actors. t is recommended that your RDS snapshots should not be public in order to prevent potential leak or misuse of sensitive data or any other kind of security threat. If your RDS snapshot is public; then the data which is backed up in that snapshot is accessible to all other AWS accounts.,Use AWS Config to identify any sanpshot that is public.,https://docs.aws.amazon.com/config/latest/developerguide/rds-snapshots-public-prohibited.html,Data Protection
7.6,[extra76] Ensure there are no EC2 AMIs set as Public,NOT_SCORED,EXTRA,Critical,NA,extra76,extra76,NA,ec2,A shared AMI is an AMI that a developer created and made available for other developers to use. If AMIs have embebed information about the environment could pose a security risk. You use a shared AMI at your own risk. Amazon can not vouch for the integrity or security of AMIs shared by Amazon EC2 users. ,List all shared AMIs and make sure there is a business reason for them.,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/usingsharedamis-finding.html,Infrastructure Security
7.24,[extra724] Check if ACM certificates have Certificate Transparency logging enabled,NOT_SCORED,EXTRA,Medium,AwsCertificateManagerCertificate,extra724,extra724,NA,acm,Domain owners can search the log to identify unexpected certificates; whether issued by mistake or malice. Domain owners can also identify Certificate Authorities (CAs) that are improperly issuing certificates.,Make sure you are logging information about Lambda operations. Create a lifecycle and use cases for each trail.,https://aws.amazon.com/blogs/security/how-to-get-ready-for-certificate-transparency/,Logging and Monitoring
7.1,[extra71] Ensure users of groups with AdministratorAccess policy have MFA tokens enabled,NOT_SCORED,EXTRA,High,AwsIamUser,extra71,extra71,ens-op.exp.10.aws.trail.2,iam,"Policy ""may"" allow Anonymous users to perform actions.",Ensure this repository and its contents should be publicly accessible.,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_mfa_enable_virtual.html,Infrastructure Security
7.8,[extra78] Ensure there are no Public Accessible RDS instances,NOT_SCORED,EXTRA,Critical,AwsRdsDbInstance,extra78,extra78,NA,rds,Publicly accessible databases could expose sensitive data to bad actors.,Using an AWS Config rule check for RDS public instances periodically and check there is a business reason for it.,https://docs.amazonaws.cn/en_us/config/latest/developerguide/rds-instance-public-access-check.html,Data Protection
7.12,[extra712] Check if Amazon Macie is enabled,NOT_SCORED,EXTRA,Low,AwsMacieSession,extra712,extra712,NA,macie,Amazon Macie is a fully managed data security and data privacy service that uses machine learning and pattern matching to help you discover; monitor; and protect your sensitive data in AWS.,Enable Amazon Macie and create appropriate jobs to discover sensitive data.,https://docs.aws.amazon.com/macie/latest/user/getting-started.html,Data Protection
7.15,[extra715] Check if Amazon Elasticsearch Service (ES) domains have logging enabled,NOT_SCORED,EXTRA,Medium,AwsElasticsearchDomain,extra715,extra715,NA,es,Amazon ES exposes four Elasticsearch logs through Amazon CloudWatch Logs: error logs; search slow logs; index slow logs; and audit logs. ,Enable Elasticsearch log. Create use cases for them. Using audit logs check for access denied events.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-createdomain-configure-slow-logs.html,Logging and Monitoring
3.12,[check312] Ensure a log metric filter and alarm exist for changes to network gateways,SCORED,LEVEL1,Medium,AwsCloudTrailTrail,check312,check312,NA,vpc,Monitoring unauthorized API calls will help reveal application errors and may reduce time to detect malicious activity.,It is recommended that a metric filter and alarm be established for unauthorized requests.,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html,Logging and Monitoring
1.20,[check120] Ensure a support role has been created to manage incidents with AWS Support,SCORED,LEVEL1,Medium,AwsIamRole,check120,check120,ens-op.acc.1.aws.iam.4,iam,AWS provides a support center that can be used for incident notification and response; as well as technical support and customer services. Create an IAM Role to allow authorized users to manage incidents with AWS Support.,Create an IAM role for managing incidents with AWS.,https://docs.aws.amazon.com/awssupport/latest/user/accessing-support.html,IAM
7.41,[extra741] Find secrets in EC2 User Data,NOT_SCORED,EXTRA,Critical,AwsEc2Instance,extra741,extra741,NA,ec2,Secrets hardcoded into instance user data can be used by malware and bad actors to gain lateral access to other services.,Implement automated detective control (e.g. using tools like Prowler ) to scan accounts for passwords and secrets. Use secrets manager service to store and retrieve passwords and secrets. ,https://docs.aws.amazon.com/secretsmanager/latest/userguide/tutorials_basic.html,IAM
7.79,[extra779] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Elasticsearch/Kibana ports,NOT_SCORED,EXTRA,High,AwsEc2SecurityGroup,extra779,extra779,NA,ec2,If Security groups are not properly configured the attack surface is increased. ,Use a Zero Trust approach. Narrow ingress traffic as much as possible. Consider north-south as well as east-west traffic.,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html,Infrastructure Security
7.46,[extra746] Check if API Gateway has configured authorizers,NOT_SCORED,EXTRA,Medium,AwsApiGatewayRestApi,extra746,extra746,NA,apigateway,If no authorizer is enabled anyone can use the service.,Implement Amazon Cognito or a Lambda function to control access to your API.,https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-use-lambda-authorizer.html,IAM
1.18,[check118] Ensure security contact information is registered,SCORED,LEVEL1,Medium,NA,check118,check118,NA,support,AWS provides customers with the option of specifying the contact information for accounts security team. It is recommended that this information be provided. Specifying security-specific contact information will help ensure that security advisories sent by AWS reach the team in your organization that is best equipped to respond to them.,Go to the My Account section and complete alternate contacts.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/manage-account-payment.html,IAM
1.11,[check111] Ensure IAM password policy expires passwords within 90 days or less,SCORED,LEVEL1,Medium,NA,check111,check111,NA,iam,Password policies are used to enforce password complexity requirements. IAM password policies can be used to ensure password are comprised of different character sets. It is recommended that the password policy require at least one uppercase letter.,"Ensure ""Password expiration period (in days):"" is set to 90 or less.",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html,IAM
7.84,[extra784] Check if Amazon Elasticsearch Service (ES) domains internal user database enabled,NOT_SCORED,EXTRA,Medium,AwsElasticsearchDomain,extra784,extra784,NA,es,Internal User Database is convenient for demos; for production environment use Federated authentication.,Remove users from internal user database and uso Cognito instead.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/fgac.html,IAM
7.70,[extra770] Check for internet facing EC2 instances with Instance Profiles attached ,NOT_SCORED,EXTRA,Medium,AwsEc2Instance,extra770,extra770,NA,ec2,Exposing an EC2 directly to internet increases the attack surface and therefore the risk of compromise.,Use an ALB and apply WAF ACL.,https://aws.amazon.com/blogs/aws/aws-web-application-firewall-waf-for-application-load-balancers/,Infrastructure Security
1.16,[check116] Ensure IAM policies are attached only to groups or roles,SCORED,LEVEL1,Low,AwsIamUser,check116,check116,ens-op.acc.3.aws.iam.1,iam,By default IAM users; groups; and roles have no access to AWS resources. IAM policies are the means by which privileges are granted to users; groups; or roles. It is recommended that IAM policies be applied directly to groups and roles but not users. Assigning privileges at the group or role level reduces the complexity of access management as the number of users grow. Reducing access management complexity may in-turn reduce opportunity for a principal to inadvertently receive or retain excessive privileges.,Remove any policy attached directly to the user. Use groups or roles instead.,https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,IAM
7.48,[extra748] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to any port,NOT_SCORED,EXTRA,High,AwsEc2SecurityGroup,extra748,extra748,NA,ec2,If Security groups are not properly configured the attack surface is increased. ,Use a Zero Trust approach. Narrow ingress traffic as much as possible. Consider north-south as well as east-west traffic.,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html,Infrastructure Security
7.77,[extra777] Find VPC security groups with more than 50 ingress or egress rules ,NOT_SCORED,EXTRA,Medium,AwsEc2SecurityGroup,extra777,extra777,NA,ec2,If Security groups are not properly configured the attack surface is increased. ,Use a Zero Trust approach. Narrow ingress traffic as much as possible. Consider north-south as well as east-west traffic.,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html,Infrastructure Security
7.83,[extra783] Check if Amazon Elasticsearch Service (ES) domains has enforce HTTPS enabled,NOT_SCORED,EXTRA,Medium,AwsElasticsearchDomain,extra783,extra783,NA,es,If not enable unauthorized access to your data could risk increases.,"When creating ES Domains; enable ""Require HTTPS fo all traffic to the domain"".",https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/es-createupdatedomains.html,Data Protection
7.14,[extra714] Check if CloudFront distributions have logging enabled,NOT_SCORED,EXTRA,Medium,AwsCloudFrontDistribution,extra714,extra714,NA,cloudfront,If not enabled monitoring of service use is not possible.,Real-time monitoring can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. Enable logging for services with defined log rotation. This logs are useful for Incident Response and forensics investigation among other use cases.,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/AccessLogs.html,Logging and Monitoring
7.13,[extra713] Check if GuardDuty is enabled,NOT_SCORED,EXTRA,High,AwsGuardDutyDetector,extra713,extra713,ens-op.mon.1.aws.duty.1,guardduty,Amazon GuardDuty is a continuous security monitoring service that analyzes and processes several datasources.,Enable GuardDuty and analyze its findings.,https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_settingup.html,Data Protection
7.9,[extra79] Check for internet facing Elastic Load Balancers,NOT_SCORED,EXTRA,Medium,AwsElbLoadBalancer,extra79,extra79,NA,elb,Publicly accessible load balancers could expose sensitive data to bad actors.,Ensure the load balancer should be publicly accessible. If publicly exposed ensure a WAF ACL is implemented.,https://docs.aws.amazon.com/waf/latest/developerguide/web-acl-associating-aws-resource.html,Data Protection
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.25,[extra725] Check if S3 buckets have Object-level logging enabled in CloudTrail,NOT_SCORED,EXTRA,Medium,AwsS3Bucket,extra725,extra725,NA,s3,If logs are not enabled; monitoring of service use and threat analysis is not possible.,Enable logs. Create an S3 lifecycle policy. Define use cases; metrics and automated responses where applicable.,https://docs.aws.amazon.com/AmazonS3/latest/userguide/enable-cloudtrail-logging-for-s3.html,Logging and Monitoring
7.22,[extra722] Check if API Gateway has logging enabled,NOT_SCORED,EXTRA,Medium,AwsApiGatewayRestApi,extra722,extra722,NA,apigateway,If not enabled; monitoring of service use is not possible. Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms.,Monitoring is an important part of maintaining the reliability; availability; and performance of API Gateway and your AWS solutions. You should collect monitoring data from all of the parts of your AWS solution. CloudTrail provides a record of actions taken by a user; role; or an AWS service in API Gateway. Using the information collected by CloudTrail; you can determine the request that was made to API Gateway; the IP address from which the request was made; who made the request; etc.,https://docs.aws.amazon.com/apigateway/latest/developerguide/security-monitoring.html,Logging and Monitoring
7.7,[extra77] Ensure there are no ECR repositories set as Public,NOT_SCORED,EXTRA,Critical,NA,extra77,extra77,NA,ecr,Policy may allow Anonymous users to perform actions.,Ensure this repository and its contents should be publicly accessible.,https://docs.aws.amazon.com/AmazonECR/latest/public/security_iam_service-with-iam.html,Data Protection
9.9999,[check9999] Custom Defined Check,NOT_SCORED,EXTRA,Critical,Custom,extra9999,NA,NA,custom,Custom Defined Risk,Custom Remediation,NA,Custom EPIC
1.17,[check117] Maintain current contact details,SCORED,LEVEL1,Medium,NA,check117,check117,NA,support,Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details; and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner; AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation; proactive measures may be taken; including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question.,Using the Billing and Cost Management console complete contact details.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/manage-account-payment.html#contact-info,IAM
7.49,[extra749] Ensure no security groups allow ingress from 0.0.0.0/0 or ::/0 to Oracle ports 1521 or 2483,NOT_SCORED,EXTRA,High,AwsEc2SecurityGroup,extra749,extra749,ens-mp.com.4.aws.sg.6,ec2,If Security groups are not properly configured the attack surface is increased. ,Use a Zero Trust approach. Narrow ingress traffic as much as possible. Consider north-south as well as east-west traffic.,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html,Infrastructure Security
7.82,[extra782] Check if Amazon Elasticsearch Service (ES) domains has node-to-node encryption enabled,NOT_SCORED,EXTRA,Medium,AwsElasticsearchDomain,extra782,extra782,NA,es,Node-to-node encryption provides an additional layer of security on top of the default features of Amazon ES. This architecture prevents potential attackers from intercepting traffic between Elasticsearch nodes and keeps the cluster secure.,Node-to-node encryption on new domains requires Elasticsearch 6.0 or later. Enabling the feature on existing domains requires Elasticsearch 6.7 or later. Choose the existing domain in the AWS console; Actions; and Modify encryption.,https://docs.aws.amazon.com/elasticsearch-service/latest/developerguide/ntn.html,Data Protection
7.76,[extra776] Check if ECR image scan found vulnerabilities in the newest image version,NOT_SCORED,EXTRA,Medium,AwsEcrRepository,extra776,extra776,NA,ecr,Amazon ECR image scanning helps in identifying software vulnerabilities in your container images. Amazon ECR uses the Common Vulnerabilities and Exposures (CVEs) database from the open-source Clair project and provides a list of scan findings. ,Open the Amazon ECR console. Then look for vulnerabilities and fix them.,https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-scanning.html#describe-scan-findings,Logging and Monitoring
1.10,[check110] Ensure IAM password policy prevents password reuse: 24 or greater,SCORED,LEVEL1,Medium,NA,check110,check110,NA,iam,Password policies are used to enforce password complexity requirements. IAM password policies can be used to ensure password are comprised of different character sets. It is recommended that the password policy require at least one uppercase letter.,"Ensure ""Number of passwords to remember"" is set to 24.",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html,IAM
7.71,[extra771] Check if S3 buckets have policies which allow WRITE access ,NOT_SCORED,EXTRA,Critical,AwsS3Bucket,extra771,extra771,NA,s3,Non intended users can put objects in a given bucket.,Ensure proper bucket policy is in place with the least privilege principle applied.,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_examples_s3_rw-bucket.html,IAM
